Month,area,regional,networksite,site_id,Availability (Ave),site_class,target (%),Achievement
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY360,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY361,99.89,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY362,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY365,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY366,99.86,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY367,99.89,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY372,99.97,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY373,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY374,95.61,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY378,93.52,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY379,99.5,Gold,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY381,99.84,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY382,99.93,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY383,100.0,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY384,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY385,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY387,99.99,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY389,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY391,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY392,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY393,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY395,99.98,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY396,99.89,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY398,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY399,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY403,99.84,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY404,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY405,99.97,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY406,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY407,100.0,Diamond,99.97,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY415,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY418,99.95,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY419,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY425,99.8,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY428,99.99,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY431,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY432,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY433,99.81,Platinum,99.88,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY435,99.9,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY437,50.0,Bronze,99.63,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY438,100.0,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY439,99.8,Bronze,99.63,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY443,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY445,100.0,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY447,100.0,Silver,99.82,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY448,99.97,Gold,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY450,99.99,Platinum,99.88,Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY454,99.33,Silver,99.82,Not Achieved
May-25,AREA3,REGIONAL6,NOP SURABAYA,SBY460,100.0,Gold,99.88,Achieved
